competition_id,source_label,canonical_name,organizer_scope,competition_type,importance_level,model_scope,extra_time_possible,normalization_source,notes
afc_asian_cup,AFC Asian Cup,AFC Asian Cup,AFC,continental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
afc_asian_cup_qualification,AFC Asian Cup qualification,AFC Asian Cup qualification,AFC,continental_qualification,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
asean_championship,AFF Championship,ASEAN Championship,AFC,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
asean_championship_qualification,AFF Championship qualification,ASEAN Championship qualification,AFC,regional_qualification,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
asean_championship,ASEAN Championship,ASEAN Championship,AFC,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
asean_championship_qualification,ASEAN Championship qualification,ASEAN Championship qualification,AFC,regional_qualification,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
african_cup_of_nations,African Cup of Nations,African Cup of Nations,CAF,continental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
african_cup_of_nations_qualification,African Cup of Nations qualification,African Cup of Nations qualification,CAF,continental_qualification,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
al_ain_international_cup,Al Ain International Cup,Al Ain International Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
arab_cup,Arab Cup,Arab Cup,UAFA/FIFA,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
arab_cup_qualification,Arab Cup qualification,Arab Cup qualification,GLOBAL,regional_qualification,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
baltic_cup,Baltic Cup,Baltic Cup,UEFA,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
cafa_nations_cup,CAFA Nations Cup,CAFA Nations Cup,AFC,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
concacaf_nations_league,CONCACAF Nations League,CONCACAF Nations League,CONCACAF,nations_league,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
concacaf_series,CONCACAF Series,CONCACAF Series,CONCACAF,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conifa_africa_football_cup,CONIFA Africa Football Cup,CONIFA Africa Football Cup,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conifa_asia_cup,CONIFA Asia Cup,CONIFA Asia Cup,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conifa_south_america_football_cup,CONIFA South America Football Cup,CONIFA South America Football Cup,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conifa_world_football_cup_qualification,CONIFA World Football Cup qualification,CONIFA World Football Cup qualification,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conmeboluefa_cup_of_champions,CONMEBOL–UEFA Cup of Champions,CONMEBOL–UEFA Cup of Champions,CONMEBOL/UEFA,intercontinental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
cosafa_cup,COSAFA Cup,COSAFA Cup,CAF,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
